TEIL;Anzahl;MinFertigungszeit;MaxFertigungszeit;AVGFertigungszeit
A;	2040;	4,02;				59,31;			12,01070098
B;	34866;	4,08;				59,99;			11,63152039
C;	71974;	3,95;				59,99;			14,8727685
D;	35611;	4,21;				59,94;			11,48861981
E;	36011;	4,27;				59,99;			11,81750132
F;	37488;	4,06;				59,99;			11,12102353
G;	36046;	4,19;				59,99;			10,96019974
H;	36726;	4,32;				59,99;			12,14030823
I;	37365;	4,22;				59,94;			13,1744721
K;	34483;	4,55;				59,99;			13,31283502

"teil"	"minAusschuss"	"maxAusschuss"	"avgAusschuss"
"A"		"0"					"2"				"0,0364"
"B"		"0"					"4"				"0,0250"
"C"		"0"					"3"				"0,0073"
"D"		"0"					"3"				"0,0148"
"E"		"0"					"2"				"0,0065"
"F"		"0"					"2"				"0,0051"
"G"		"0"					"14"			"0,0078"
"H"		"0"					"4"				"0,0120"
"I"		"0"					"3"				"0,0085"
"K"		"0"					"2"				"0,0155"
